bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,612.0,208.0,404.0,33.98692810457516,66.01307189542484,612.0,208.0,404.0,0.34350073489339916,64.74358974358974,64.40008900869634,0.5148514851485149
2.0,612.0,565.0,47.0,92.3202614379085,7.679738562091501,1224.0,773.0,451.0,1.2765676349644113,72.27564102564102,70.99907339067661,1.7139689578713968
3.0,611.0,585.0,26.0,95.74468085106383,4.255319148936167,1835.0,1358.0,477.0,2.2426634518520965,76.4423076923077,74.1996442404556,2.846960167714885
4.0,612.0,601.0,11.0,98.20261437908496,1.797385620915037,2447.0,1959.0,488.0,3.23518240219312,78.2051282051282,74.96994580293509,4.014344262295082
5.0,612.0,601.0,11.0,98.20261437908496,1.797385620915037,3059.0,2560.0,499.0,4.227701352534144,79.96794871794872,75.74024736541458,5.130260521042084
6.0,612.0,604.0,8.0,98.69281045751634,1.3071895424836555,3671.0,3164.0,507.0,5.225174640397668,81.25,76.02482535960233,6.240631163708087
7.0,611.0,602.0,9.0,98.52700490998363,1.4729950900163686,4282.0,3766.0,516.0,6.219345036579526,82.6923076923077,76.47296265572817,7.2984496124031
8.0,612.0,602.0,10.0,98.36601307189542,1.6339869281045765,4894.0,4368.0,526.0,7.213515432761382,84.2948717948718,77.08135636211041,8.304182509505704
9.0,612.0,608.0,4.0,99.34640522875817,0.6535947712418277,5506.0,4976.0,530.0,8.217594503988241,84.93589743589743,76.7183029319092,9.388679245283019
10.0,612.0,606.0,6.0,99.01960784313725,0.9803921568627487,6118.0,5582.0,536.0,9.218370683533433,85.8974358974359,76.67906521390246,10.414179104477611
11.0,611.0,606.0,5.0,99.18166939443535,0.818330605564654,6729.0,6188.0,541.0,10.219146863078626,86.69871794871794,76.47957108563932,11.43807763401109
12.0,612.0,606.0,6.0,99.01960784313725,0.9803921568627487,7341.0,6794.0,547.0,11.219923042623817,87.66025641025641,76.44033336763259,12.420475319926874
13.0,612.0,610.0,2.0,99.67320261437908,0.326797385620921,7953.0,7404.0,549.0,12.227305005532344,87.98076923076923,75.75346422523688,13.486338797814208
