bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
89.0,90.0,90.0,0.0,100.0,0.0,8010.0,7852.0,158.0,88.80343813616828,100.0,11.196561863831718,49.69620253164557
90.0,90.0,90.0,0.0,100.0,0.0,8100.0,7942.0,158.0,89.82130739651663,100.0,10.17869260348337,50.265822784810126
91.0,90.0,90.0,0.0,100.0,0.0,8190.0,8032.0,158.0,90.83917665686496,100.0,9.160823343135036,50.835443037974684
92.0,90.0,90.0,0.0,100.0,0.0,8280.0,8122.0,158.0,91.8570459172133,100.0,8.142954082786702,51.40506329113924
93.0,90.0,90.0,0.0,100.0,0.0,8370.0,8212.0,158.0,92.87491517756163,100.0,7.125084822438367,51.9746835443038
94.0,90.0,90.0,0.0,100.0,0.0,8460.0,8302.0,158.0,93.89278443790998,100.0,6.107215562090019,52.54430379746835
95.0,90.0,90.0,0.0,100.0,0.0,8550.0,8392.0,158.0,94.91065369825832,100.0,5.089346301741685,53.11392405063291
96.0,90.0,90.0,0.0,100.0,0.0,8640.0,8482.0,158.0,95.92852295860665,100.0,4.071477041393351,53.68354430379747
97.0,90.0,90.0,0.0,100.0,0.0,8730.0,8572.0,158.0,96.94639221895498,100.0,3.0536077810450166,54.25316455696203
98.0,90.0,90.0,0.0,100.0,0.0,8820.0,8662.0,158.0,97.96426147930333,100.0,2.0357385206966683,54.822784810126585
99.0,90.0,90.0,0.0,100.0,0.0,8910.0,8752.0,158.0,98.98213073965167,100.0,1.0178692603483341,55.392405063291136
100.0,90.0,90.0,0.0,100.0,0.0,9000.0,8842.0,158.0,100.0,100.0,0.0,55.962025316455694
